name,category,c_end_product,weekend_status,evidence_level,detail,as_of,source_url
快手,互联网/短视频,"快手、可灵",双休,A,"2021-06-24 官宣自 7 月 1 日起取消「大小周」，为当年第一家公开取消的互联网头部公司。直播运营等岗位周末值班仍存在。",2021-06,https://m.cqcb.com/wealth/2021-06-24/4235776_pc.html
字节跳动,互联网/内容平台,"抖音、今日头条、番茄小说",双休,A,"2021-07 官宣自 8 月 1 日起取消「大小周」，2021-11 再推「1075」（10 点上班/19 点下班/5 天，加班需领导同意）。电商大促期加班仍普遍。",2021-08,https://m.bjnews.com.cn/detail/162583095014514.html
美团,本地生活,"美团、美团外卖、大众点评",双休,A,"2021-07-17 起取消「大小周」调整为双休，由美团优选先行后推及；正编岗位 JD（招聘主体「北京三快在线」）标题直接写「周末双休」。骑手为灵活就业与众包计件，不存在双休概念。",2021-07,https://36kr.com/p/1310453556986376
BOSS直聘,招聘平台,BOSS直聘,双休,A,"2021-08 官宣无条件取消「大小周」且员工薪资不变，为当年少数明确承诺不降薪的公司。",2021-08,https://www.ithome.com/0/569/753.htm
vivo,消费电子,"vivo、iQOO 手机",双休,A,"2021-08-29 官宣自 9 月 13 日起实行双休工作制。后续有「严抓考勤」报道，属考勤管理，未改变双休制度。",2021-08,http://news.jstv.com/a/20210829/1630192575550.shtml
格力电器,家电,"格力空调、格力家电",双休,A,"2021-11-22 官方微博宣布「取消所有加班，即日起实行双休工作制」，通知明确工作日 8:30-11:45 / 13:30-17:30，加班需申请备案并调休。少见的集团级双休文件，产线与分厂执行情况无公开数据。",2021-11,https://news.bjd.com.cn/2021/11/22/10008170.shtml
小红书,互联网/社区电商,小红书,双休,A,"2025-04-24 全员信宣布自 5 月 1 日起取消「大小周」（隔周周六工作安排），同时取消员工竞业协议，是 2021 年取消潮之后最新的头部公司回归双休动作。媒体同时提示隐形加班风险。",2025-04,https://news.dayoo.com/finance/202504/24/171077_54817713.htm
携程,在线旅游,"携程旅行App、Trip.com",双休,A,"正编岗位 JD 明确写「双休」「做五休二」（客服轮休也以做五休二实现每周两天休）；另自 2022-03 起率先推行「3+2」混合办公。两者是两件事：双休是休息天数，3+2 是办公地点。",2025,https://www.quanzhi.com/job/6aa28a8b09732e35ee85e295
长城汽车,汽车,"哈弗、坦克、长城炮",双休,B,"2026 年正式取消「大小周」、全面落实双休，覆盖全体员工。员工称工作 11 年终于等到，同时有人担忧影响收入。证据为媒体报道，非官方公告。",2026,https://k.sina.com.cn/article_1887344341_707e96d504001pjug.html
小鹏汽车,新能源车,小鹏汽车,双休,B,"2021-09 取消「大小周」，员工称暂不影响收入、此前都是义务加班。另有媒体同期称其为「卷王」，两种口径并存。",2021-09,https://www.thepaper.cn/newsDetail_forward_14327520
得物,电商,得物App,双休,B,"2021 年已取消「大小周」，被媒体与字节、快手并列为「早已取消」。审核等一线岗为排班。2025 年出现校招「上六休一」争议，涉及拍摄类岗位且招聘方为第三方。",2021,https://wap.zhengguannews.cn/html/zgh/326851.html
腾讯,互联网/社交游戏,"微信、QQ、腾讯视频、王者荣耀",部分双休,B,"未实行过公开的「大小周」制度。2021-06 试点强制 6 点下班属光子工作室部门级试点且一周只执行一天；游戏与 IEG 等事业群周末加班长期存在。",2021-06,https://www.jfdaily.com/wx/detail.do?id=376069
